timestamp rtt ttl seq
1439057122.912026 308 62 7
1439057123.624806 201 62 11
1439057124.577560 352 62 15
1439057124.683777 248 62 16
1439057136.170004 734 62 69
1439057136.170081 526 62 70
1439057136.430658 371 62 72
1439057141.671530 1899 62 90
1439057150.329468 5377 62 115
1439057162.827739 484 62 199
1439057168.952876 1040 62 226
1439057173.082790 1035 62 246
1439057176.926921 951 62 265
1439057198.154182 394 62 370
1439057209.649298 309 62 426
1439057211.111651 324 62 433
1439057213.732835 1097 62 442
1439057219.446092 4538 62 453
1439057224.341121 325 62 497
1439057224.950358 318 62 500
1439057225.109616 276 62 501
1439057226.961086 485 62 509
1439057231.622306 390 62 532
1439057246.194721 535 62 602
1439057253.647477 355 62 639
1439057279.611441 471 62 764
1439057293.187076 715 62 829
1439057296.182095 1026 62 842
1439057297.695480 895 62 850
1439057300.462526 566 62 865
1439057301.130852 411 62 869
1439057301.747098 419 62 872
1439057302.221036 276 62 875
1439057303.547391 371 62 881
1439057304.259309 674 62 883
1439057305.325821 925 62 887
1439057306.886270 1454 62 892
1439057308.490443 786 62 903
1439057310.938361 562 62 916
1439057320.310543 222 62 963
1439057320.529135 233 62 964
1439057322.746335 194 62 975
1439057323.240535 287 62 977
1439057323.928112 360 62 980
1439057327.374411 1526 62 991
1439057327.374444 1526 62 991
1439057338.609300 1393 62 1046
1439057340.099479 1643 62 1052
1439057369.143921 255 62 1199
1439057369.528203 232 62 1201
1439057371.636003 284 62 1211
1439057375.351124 287 62 1229
1439057377.056512 344 62 1237
1439057377.426455 306 62 1239
1439057399.890000 646 62 1346
1439057401.316961 625 62 1353
1439057403.622211 658 62 1364
1439057405.132225 720 62 1371
1439057405.279467 659 62 1372
1439057405.617769 797 62 1373
1439057412.432368 376 62 1408
1439057413.845843 342 62 1415
1439057422.669837 1314 62 1453
1439057422.702366 1138 62 1454
1439057422.702771 938 62 1455
1439057422.801351 5.32 62 1460
1439057423.003430 6.72 62 1461
1439057423.618522 6.87 62 1464
1439057423.820325 7.43 62 1465
1439057424.018193 4.50 62 1466
1439057424.220180 5.61 62 1467
1439057424.420213 4.68 62 1468
1439057424.625370 8.77 62 1469
1439057424.823525 5.73 62 1470
1439057425.024028 5.15 62 1471
1439057425.432890 5.24 62 1473
1439057425.632657 4.41 62 1474
1439057425.833426 4.39 62 1475
1439057426.034239 4.47 62 1476
1439057426.245478 14.8 62 1477
1439057426.436186 4.37 62 1478
1439057426.640351 7.82 62 1479
1439057426.844793 11.0 62 1480
1439057427.042162 8.00 62 1481
1439057427.354796 120 62 1482
1439057427.536280 101 62 1483
1439057427.680929 45.3 62 1484
1439057427.839555 3.29 62 1485
1439057428.040246 3.32 62 1486
1439057428.245890 8.27 62 1487
1439057428.442061 3.81 62 1488
1439057428.741775 102 62 1489
1439057428.846411 6.35 62 1490
1439057429.052222 11.4 62 1491
1439057429.252735 11.1 62 1492
1439057429.451094 8.98 62 1493
1439057429.663842 21.3 62 1494
1439057429.852989 9.78 62 1495
1439057430.049119 4.77 62 1496
1439057430.250258 4.75 62 1497
1439057430.451382 4.79 62 1498
1439057430.656599 8.85 62 1499
1439057430.852600 3.65 62 1500
