timestamp rtt ttl seq
1439054264.505489 31.0 61 1
1439054265.336084 661 61 2
1439054265.768263 267 61 6
1439054265.845482 144 61 7
1439054266.009033 107 61 8
1439054266.319725 218 61 9
1439054266.462038 154 61 10
1439054266.624152 115 61 11
1439054267.045872 130 61 13
1439054267.476968 153 61 15
1439054267.835063 103 61 17
1439054268.243883 104 61 19
1439054268.567797 227 61 20
1439054269.041497 300 61 22
1439054269.254612 307 61 23
1439054269.338269 190 61 24
1439054269.543245 195 61 25
1439054269.910225 154 61 27
1439054270.242691 286 61 28
1439054270.370320 206 61 29
1439054270.607875 244 61 30
1439054271.050638 285 61 32
1439054271.212374 240 61 33
1439054271.565875 194 61 35
1439054272.434624 239 60 39
1439054272.589780 186 60 40
1439054272.841691 237 60 41
1439054273.022284 210 61 42
1439054273.358047 145 61 44
1439054273.561632 148 61 45
1439054273.782818 169 61 46
1439054273.939608 125 61 47
1439054274.223174 208 61 48
1439054274.350712 127 61 49
1439054274.657235 233 61 50
1439054274.764160 139 61 51
1439054275.202461 170 61 53
1439054275.384933 152 61 54
1439054275.591440 158 61 55
1439054275.913278 279 61 56
1439054276.189332 345 61 57
1439054276.476158 230 61 59
1439054277.038023 388 61 61
1439054277.371950 312 61 63
1439054277.832852 565 61 64
1439054277.899988 431 61 65
1439054278.256119 179 61 68
1439054278.261500 385 61 67
1439054278.395840 119 61 69
1439054279.170989 279 60 72
1439054279.411598 311 60 73
1439054279.496437 196 60 74
1439054279.654637 154 61 75
1439054279.866749 165 61 76
1439054280.288198 186 61 78
1439054280.708182 196 60 80
1439054281.109605 397 60 81
1439054281.277734 157 60 83
1439054281.489858 169 60 84
1439054281.701776 181 60 85
1439054281.882132 161 60 86
1439054282.284186 156 60 88
1439054282.501722 173 60 89
1439054282.673190 143 60 90
1439054282.923268 192 60 91
1439054283.259425 329 60 92
1439054283.604355 274 60 94
1439054283.895533 155 60 96
1439054284.127448 186 60 97
1439054284.440935 300 60 98
1439054284.697450 149 60 100
1439054285.215041 259 60 102
1439054285.401052 237 60 103
1439054285.825295 259 60 105
1439054287.100839 297 60 111
1439054287.236187 224 60 112
1439054287.580324 167 60 114
1439054287.951573 138 60 116
1439054288.276682 262 60 117
1439054288.370045 146 60 118
1439054288.589963 165 60 119
1439054288.987383 155 60 121
1439054289.073225 40.7 60 122
1439054289.887926 454 60 124
1439054290.262373 210 60 127
1439054290.683717 223 60 129
1439054290.830218 162 60 130
1439054291.163493 295 60 131
1439054291.518615 241 60 133
1439054291.863317 179 60 135
1439054292.124236 239 60 136
1439054292.316180 224 60 137
1439054292.433713 141 60 138
1439054292.846203 353 60 139
1439054293.088034 187 60 141
1439054293.284845 184 60 142
1439054293.858674 557 60 143
1439054293.926358 210 60 145
1439054294.120035 204 60 146
1439054294.415649 299 60 147
1439054294.470708 153 60 148
1439054294.690566 172 60 149
1439054294.820530 101 60 150
1439054295.060546 140 60 151
1439054295.681069 145 60 154
1439054295.909119 172 60 155
1439054296.108635 171 60 156
1439054296.245988 109 60 157
1439054296.716002 172 60 159
1439054296.957850 213 60 160
1439054297.364936 212 60 162
1439054297.522530 162 60 163
1439054298.210973 235 60 166
1439054298.535128 351 60 167
1439054298.725410 141 60 169
1439054299.022650 31.0 60 171
1439054299.342856 152 60 172
1439054299.545438 154 60 173
1439054299.967173 167 60 175
1439054300.254928 254 60 176
1439054300.345301 137 60 177
1439054300.603832 195 60 178
1439054300.828749 220 60 179
1439054300.977714 162 60 180
1439054301.190872 174 60 181
1439054301.582185 158 60 183
1439054301.818166 193 60 184
1439054302.215074 183 60 186
1439054302.495903 263 60 187
1439054302.616913 177 60 188
1439054303.030036 182 60 190
1439054303.224596 177 60 191
1439054303.445026 197 60 192
1439054303.651402 203 60 193
1439054303.839947 188 60 194
1439054304.029984 177 60 195
1439054304.214602 162 60 196
1439054304.456310 203 60 197
1439054304.652623 196 60 198
1439054304.848238 191 60 199
